WaferNo,Si2H6,N2O,N2,Pressure,Power,Temp,
1,200,4000,3000,2250,403,360,
2,200,4000,3000,2250,403,400,
3,200,4000,3000,2250,362,400,
4,200,4000,3000,2250,402,400,
5,200,4000,3000,2250,442.9032258,400,
6,200,4000,3000,2250,402.9032258,400,
7,200,4000,3000,2500,403,400,
8,200,4000,3000,2750,402.9666667,400,
9,180,4000,3000,2250,402.9,400,
10,200,4000,3000,2250,403,400,
11,220,4000,3000,2250,402.9,400,
12,200,3600,3000,2250,403,400,
13,200,4000,3000,2250,402.8,400,
14,200,4400,3000,2250,402.9642857,400,
15,200,4000,2700,2250,403,400,
16,200,4000,3000,2250,403,400,
17,200,4000,3300,2250,403,400,
18,200,4000,3000,2250,402.9677419,440,
,,,,,,,
,,,,,,,
,,,,,,,
pre,200,4000,3000,2250,400,360,30
1,200,4000,3000,2250,400,360,30
2,200,4000,3000,2250,400,400,30
3,200,4000,3000,2250,360,400,30
4,200,4000,3000,2250,400,400,30
5,200,4000,3000,2250,440,400,30
6,200,4000,3000,2250,400,400,30
7,200,4000,3000,2500,400,400,30
8,200,4000,3000,2750,400,400,30
9,180,4000,3000,2250,400,400,30
10,200,4000,3000,2250,400,400,30
11,220,4000,3000,2250,400,400,30
12,200,3600,3000,2250,400,400,30
13,200,4000,3000,2250,400,400,30
14,200,4400,3000,2250,400,400,30
15,200,4000,2700,2250,400,400,30
16,200,4000,3000,2250,400,400,30
17,200,4000,3300,2250,400,400,30
18,200,4000,3000,2250,400,440,30
